text,intent
I would like to create an account related to a new grant award,CreateAccount
I need assistance removing another user from the organization,RemoveUser
I would like to change my password but I still can't access the EHB system,ChangePassword
how to access my account,AccessAccount
I would like a password reset,ResetPassword
Please have DMI extend the deadline on the following FFR to 4/30/2022:,ExtendDeadline	
what were the FQHC Requirements for applying for a grant,ApplyForGrant
I am unable to access my account because the security question answer isn't working,AccessAccount
Please have DMI extend the deadline on the following FFRs to 8/12/2021:,ExtendDeadline	
PD needed assistance with registering as PD and creating a new account,RegisterAsPD
Can I get access to this grant,GetAccess
I want to know about the loan repayment program,AskAboutLoanRepaymentProgram
I need to file a complaint against a Federally Qualified Health Center,FileComplaint
I'd like to add a user to my organization's FTCA redeeming application,AddUser
update on his ticket 1071755,GetUpdate
I need assistance with registering as PD,RegisterAsPD
I want to speak with someone from the finance department,SpeakWithSomeone
Can I extend the due date of this report from 9/29/2021 to 10/27/2021,ExtendDueDate
I want to know the status the of their Provider Relief Application,AskAboutStatus
I want to speak with someone regarding the FTCA,SpeakWithSomeone
I need assistance with Provider Relief Fund-Phase 3,CallForAssistance
I need to help me reset my password,ResetPassword
can they re-upload a supporting document to the application,ApplyForProgram
trying to set up an ehb account,CreateEHBAccount
I need to reset the password,ResetPassword
User called to check claims status,CheckStatus
how they can give access to another user,GiveAccess
I want to know if she is eligible for Optimizing Virtual Care,GetLoan
trying to log into the EHB but the account is disabled,LogIntoEHB
asked me to submit a prior approval request on this grant,SubmitPriorApprovalRequest
have their EHB account enabled,ReportEHBAccountUnlocked
update on ticket 01194910,GetUpdate
User calling for assistance with the Loan Repayment Program application,AskAboutLoanRepaymentProgram
I need assistance with a pw reset and update email,CallForAssistance
I need to obtain a grant for housing for Ryan white,ApplyForGrant
I need their session terminated,ReportSessionTerminated
I need to extend the due date for the FFR noted below to 12/31/2021,ExtendDueDate
How do I change my password,ChangePassword
Can I speak with someone about the requirements regarding rural,SpeakWithSomeone
I'm locked out of his account,RemoveUser
I'd like to request an extension for FFR,RequestExtension
Can you extend the due date for the new performance report (Tracking/Task #DG00004939) until 10/29/21,ExtendDueDate
I would like to speak with someone regarding provider support,SpeakWithSomeone
Can I find their CRS-EIN number to register as PD,RegisterAsPD
Can I get reimbursed for a patient who visited previously,GiveAccess
I need assistance with locating Revised Budget,CallForAssistance
I need assistance with unlocking account,UnlockAccount
Cannot log into EHB,LogIntoEHB
Caller wanted to reset her password,ResetPassword
She will like to locate a Health Center nearby,FindHealthCenter
I need to extend the due dates for the two FFR's shown below,ExtendDueDate
I need assistance with change ins scope,CallForAssistance
Can I make a complaint for a FQHC,FileComplaint
can my account be unlocked to log into EHB,LogIntoEHB
I want to get access to this grant for Esther Corpuz,GetAccess
information about the loan repayment program,AskAboutLoanRepaymentProgram
I have reached the right number for COVID-19 Provider relief,GetLoan
how to delete a contract in the EHB,GiveAccess
can't log into the EHB,LogIntoEHB
I would like to file a complaint about a health center,FileComplaint
Please have DMI extend the deadline on the following FFR to 7/30/2021:,ExtendDeadline	
they wanted to know the status of her PRF fund,AskAboutStatus
I need to create a prior approval for an inactive grant,SubmitPriorApprovalRequest
I am trying to request prior approval,SubmitPriorApprovalRequest
I am trying to create an account,CreateAccount
I would like to change the organizational info,GiveAccess
I may have missed the opportunity to apply,GetLoan
User calling for assistance with the Loan Repayment Program,AskAboutLoanRepaymentProgram
I need to add a grant to their portfolio,AddGrant
Can I create an account in the HRSA electronic handbooks center,CreateAccount
can they submit the supplemental grant past its due date,ApplyForProgram
how to make changes and submit it to HRSA,MakeChanges
She needs to submit Prior Approval Request for Project Director Change,SubmitPriorApprovalRequest
caller wanted to know about the provider relief fund,CallForInformation
I would like to speak with someone regarding organ transplant,SpeakWithSomeone
access to this grant information,AccessGrant
Caller wants to inquire about the Provider Relief Fund,CallForInformation
they need their session terminated,ReportSessionTerminated
I would like to request an extension for their budget,RequestExtension
we are having trouble creating an account,CreateAccount
she is trying to request an extension,RequestExtension
I'd like to speak with someone regarding the LRP,SpeakWithSomeone
I want to know if she is still scheduled for a site visit in 2022,GetLoan
I want to know if she qualifies for a loan repayment forgiveness program,GetLoan
Can I get a loan for home health care,GetLoan
Can you help check the status,CheckStatus
Caller has questions about the Provider Relief Fund for Phase 4 regarding application status,CallForInformation
Please have DMI extend the deadline on the following FFR to 5/7/2021: FFR00096849/1: 18X10MC32177,ExtendDeadline	
Please have DMI extend the deadline on the following FFR to 2/15/2021:,ExtendDeadline	
I'd like to extend the deadline on the following FFR to 4/30/2022,ExtendDeadline	
I had questions regarding Scholarships for Disadvantaged (SDS) Program,GetLoan
my account is being used and will not let me login,ReportUnableToLogin
I want to change my password and the new passwords don't work,ChangePassword
I need to speak with someone regarding PRF funding,SpeakWithSomeone
she is the Administrator for Johnson County Health and would like to create an account,CreateAccount
can she use the money from H8F grant,GetLoan
They would like to know if they are coved under OSHA,ApplyForProgram
I need assistance with Provider Relief Fund,CallForAssistance
I need to complete additional parts for the RSR,ApplyForProgram
User wants to add a grant,AddGrant
they are still unable to access the grants in the portfolio,AccessGrant
thy needed information on the FQHC Requirements for a grant they want to apply for,ApplyForGrant
Can I get an update regarding this,GetUpdate
Grantee is unable to submit a prior approval request for a Carryover of Unobligated Balances,SubmitPriorApprovalRequest
I want to get a grant application into the EHB,ApplyForGrant
I would like to pLEASE ALLOW US TO REQUEST AN EXTENSION,RequestExtension
trying to remove users from our grant in the EHB,RemoveUser
can they have multiple AO's in the organization,ApplyForProgram
I need my password reset,ResetPassword
I need help logging into the EHB,LogIntoEHB
I'd like to get CDR access for this grant,GiveAccess
I want to get another extension after one has expired,GetLoan
I'd like to make changes to Form 5a and scope modification,MakeChanges
Could you please reset my password,ResetPassword
I'd like to find out the status of the Provider Relief grant,AskAboutStatus
I still cannot access my account,AccessAccount
User calling for assistance regarding the Provider Relief Fund,CallForAssistance
Please have DMI extend the deadline on the following FFR to 8/29/2021:,ExtendDeadline	
I want to find a health center for HIV,FindHealthCenter
I would like to request an extension for 00309118,RequestExtension
I'd like to get access to another manager within our department,GetAccess
Can I get access to the above grant,AccessGrant
I'd like to get access to the grant because she needed to,GetAccess
the grantee needs assistance with registering the grant to their portfolio,RegisterGrant
Caller would like to create an account now,CreateAccount
I need to get access to this grant H9AHA36958,GetAccess
I'd like to add an User to the EHB,AddUser
Caller needed assistance with filing a complaint towards a health center,FileComplaint
I need help with filing a complaint about a medical center,FileComplaint
I need to create prior approval requests,SubmitPriorApprovalRequest
is our system superior,AskAboutSystem
I need access to the grant but their PD is no longer with the organization,AccessGrant
User calling for assistance with the Provider Relief Fund,CallForAssistance
I can register our new grant,RegisterGrant
Please have DMI extend the deadline on the following FFR to 8/12/2021:,ExtendDeadline	
I would like to add a user to the ehb,AddUser
I want to find a health center,FindHealthCenter
I need to get access to this grant for a PA for PD change,GetAccess
I'd like to get access to our capital grant in the EHBs,GetAccess
I want to make revisions to the application,MakeChanges
I need a Grant added to her EHB,AddGrant
access to this grant that is no longer active,AccessGrant
Cannot log into the EHB with her current password,LogIntoEHB
user needed their session terminated,ReportSessionTerminated
I am working on submitting a Prior Approval for a change of PD,SubmitPriorApprovalRequest
I need to find a health center that offered mammograms for low income individuals,FindHealthCenter
May need you to unlock my account to EHB,UnlockAccount
I would like to apply for a grant,ApplyForGrant
could not find a health center within 250 miles using the online search portal,FindHealthCenter
User calling for info regarding the Provider Relief Fund,CallForInformation
I'd like to remove an old user from the RSR access,RemoveUser
Can I create a prior approval,SubmitPriorApprovalRequest
He would like to request an extension,RequestExtension
I need to add a user to their organization,AddUser
I'd like to speak with someone in reference to competitive billing,SpeakWithSomeone
I need to request an extension for their project implementation submission,RequestExtension
I need assistance with Vaccine Injury Compensation,CallForAssistance
I want to extend the deadline for their RFI report,ExtendDeadline	
can they bill these uninsured patients for services,ApplyForProgram
Grantee needed assistance with unlocking account and password reset,UnlockAccount
Can I add a grant to her portfolio that is missing,AddGrant
I need a register grant and a PA for PD change,RegisterGrant
I'd like to add a grant to portfolio for new user,AddGrant
Her password needs to be reset,ResetPassword
Can I get access to the application for the supplemental funding,GetAccess
user is unable to access account,AccessAccount
I want to create an account as a service provider,CreateAccount
unlocked password and password reset needed,ResetPassword
I need assistance with BHW Portal,CallForAssistance
where to find a health center in IOWA,FindHealthCenter
Can I create an EHB account for our RHCVC grant,CreateEHBAccount
they have to do a CIS,ApplyForProgram
Caller needed assistance with unlocking account and resetting password,UnlockAccount
I want to help me access my account,AccessAccount
I need to extend the due date for the below FFR to 11/5/2021,ExtendDueDate
I need to make changes to covid survey that has been submitted,MakeChanges
Can I make an complaint regarding the Ryan White Foundation,FileComplaint
I need to create an EHB account,CreateEHBAccount
I would like to check the status of his provider relief fund from cares act,CheckStatus
could not locate the manage peer access link to access the grant application,AccessGrant
I am unable to login,ReportUnableToLogin
I would like to create an account for Andrea McMullin,CreateAccount
I want to know the status of her grant application,AskAboutStatus
I need to get assistance with removing a user from their grant and organization,RemoveUser
Caller wanted assistance with locating a health center,FindHealthCenter
I cannot log into EHB and my security answer is wrong,LogIntoEHB
I want to make changes to an extension request that was submitted,MakeChanges
I would like to add a grant to my portfolio,AddGrant
I need assistance with the loan repayment Program,AskAboutLoanRepaymentProgram
the grantee is experiencing an issue creating an EHB account,CreateEHBAccount
I would like to find out about the loan repayment program,AskAboutLoanRepaymentProgram
I want to find the NOA to create an account,CreateAccount
password reset is needed,ResetPassword
I would like to create an EHB account for her new organization,CreateEHBAccount
I would like to create an EHB account for grantee,CreateEHBAccount
I need assistance with registering as PD for 3 grants,RegisterAsPD
I need to extend the due date of FFR00100874/1 for document number 17H80CS28345,ExtendDueDate
how they will apply for this funding opportunity,GiveAccess
trying to log in to apply for a grant,ApplyForGrant
I need to speak with someone from the provider relief helpline,SpeakWithSomeone
I need to request an extension for their performance report,RequestExtension
I'd like to find a grant related to critical childcare issues,ApplyForGrant
access to the grant as the AO,AccessGrant
removing a user as a communication contact,RemoveUser
how to delete one of their tasks,GiveAccess
I need assistance with National Vaccine Injury Compensation Program,CallForAssistance
I need to speak with someone regarding covid related claims,SpeakWithSomeone
can I still qualify for a grant,ApplyForGrant
update on the situation,GetUpdate
access to all the grants at Trillium Health,AccessGrant
I am unable to gain access to my account after changing the password twice,AccessAccount
User calling for assistance with the Provider Relief Fund/Phase 4,CallForInformation
do a allocations report,GetLoan
Please have DMI extend the deadline on the following FFR to 4/29/2022:,ExtendDeadline	
User is calling regarding the Provider Relief Fund,CallForInformation
where can they find a grant,ApplyForGrant
I need assistance with Star loan repayment program,CallForAssistance
Customer is unable to login to EHB,ReportUnableToLogin
User called needing assistance on how to request a extension,RequestExtension
Can I change my password but I cannot remember my old password,ChangePassword
please extend the due date for the non-competing performance report to 07/30/2021,ExtendDueDate
I would like to change my password due to expiration today,ChangePassword
I need assistance with report that has been administratively closed and needed to make changes,MakeChanges
I would like to get more information about the trainings,GetLoan
I need to help creating an account,CreateAccount
will not let me change my password,ChangePassword
User wanted to know if they needed to certify their RSR yet,ApplyForProgram
I'd like to add a grant to portfolio  as PD,AddGrant
Can I check the status of there American Rescue Plan Application,CheckStatus
I am trying to submit a Prior Approval Carryover Request,SubmitPriorApprovalRequest
how they give someone access to a grant,GiveAccess
Caller needed assistance with Creating EHB account,CreateEHBAccount
I need to create an EHB account for the Grant's listed PD,CreateEHBAccount
Can I update information for their organization,GiveAccess
PD needed assistance with registering as PD for 2 grants,RegisterAsPD
I need assistance with provider relief fund,CallForInformation
User is unable to login,ReportUnableToLogin
Some users left the organization and some accounts need to be removed from their organization,RemoveUser
trying to log into the EHB for the first time,LogIntoEHB
I would like to make changes to their Progress report,MakeChanges
I am unable to login his EHB account,ReportUnableToLogin
User needs to know a status of a claim,AskAboutStatus
I need assistance with creating an account,CreateAccount
I'd like to get an update on the previous ticket 01272343,GetUpdate
what is the status of our application,AskAboutStatus
User needed to file a complaint and needed help finding affordable healthcare,FileComplaint
I'd like to add another user to the NOA email list,AddUser
I need their password reset,ResetPassword
I'd like to get access to grant G01RH42539,GetAccess
I am trying to reset my password,ResetPassword
I'd like to register on the EHB,CreateEHBAccount
I'd like to check the status of this application,CheckStatus
can not access my acct current pw not working,AccessAccount
I'd like to let me know the status of this,AskAboutStatus
Can I check the status of her phase 4 grant,CheckStatus
I need to find a health center in their area,FindHealthCenter
how a FQHC is using their funds,FileComplaint
They wanted to know how they can update their contact,GiveAccess
Grantee needed assistance with locating RSR 2020 Annual Performance Report,CallForAssistance
Unable to login beyond the dashboard,ReportUnableToLogin
"I have been unable to login the EHB since Friday, the 12th",ReportUnableToLogin
Please have DMI extend the deadline on the following FFR to 12/31/2021:,ExtendDeadline	
"I am trying to change my password, but it is not recognizing the old password",ChangePassword
I am unable to login her EHB account,ReportUnableToLogin
I'd like to access a grant I submitted in 2016,AccessGrant
Caller wanted to check claims status,CheckStatus
Can I change to SF428 form,MakeChanges
Prior Approval No Cost Extension for grant MO1HP31334,SubmitPriorApprovalRequest
Users account is disabled,RemoveUser
claim status of four patients,AskAboutStatus
I need help with registering a grant to portfolio,RegisterGrant
I can't log in to change my password,ChangePassword
user needed an update,GetUpdate
Can I help accessing their grant,AccessGrant
I need to get access to this dataset from 2001-2019,GetAccess
I need his password reset,ResetPassword
I need their EHB account unlocked,ReportEHBAccountUnlocked
Caller needed assistance with unlocking account and reset password,UnlockAccount
I need to find a grant to complete the provider report,ApplyForGrant
I am unable to login in his EHB account,ReportUnableToLogin
information regarding the Provider Relief Fund,CallForInformation
Caller was unable to log into the EHB due to an disabled account,LogIntoEHB
I would like to create an EHB account and create Prior approval for project director change,CreateEHBAccount
I need their EHB account unlocked and a password reset performed as well,ReportEHBAccountUnlocked
I am unable to login his AMS account,ReportUnableToLogin
I want to get access to application for HRSA-21-114,GetAccess
how can we access the grant,AccessGrant
how I would be able to access my account,AccessAccount
Unable to login,ReportUnableToLogin
I'd like to speak with someone regarding the 340B Program,SpeakWithSomeone
I am unable to find where I can create an account,CreateAccount
I need to create an account,CreateAccount
have their EHB account unlocked,ReportEHBAccountUnlocked
I want to remove a user in the EHB and add a new user,RemoveUser
I want to file a complaint on a healthcare center,FileComplaint
Grantee cannot log into EHB,LogIntoEHB
User calling needing assistance with registering this grant as PD,RegisterGrant
Please have DMI extend the deadline on the following FFR to 5/16/2022: Document Number: 20X7CHA36863C3,ExtendDeadline	
I am unable to access my account,AccessAccount
"I need to get an update from Adelante Healthcare, Inc",GetUpdate
Can I apply for a grant for his teeth,ApplyForGrant
User called stating their EHB account was disabled and they needed to log into EHB,LogIntoEHB
I received notice that I needed to change my password,ChangePassword
I need to speak with someone regarding covid uninsured claims,SpeakWithSomeone
the claims status of their Civid-19 uninsured claims,AskAboutStatus
I need assistance with provider relief fund-phase 4,CallForInformation
I need to check the status of her ticket,CheckStatus
I am having trouble creating an account and logging in,CreateAccount
having trouble registering a grant to portfolio,RegisterGrant
Caller wanted to file a complaint against FQHC,FileComplaint
I need help adding a grant to portfolio,AddGrant
I need it unlocked,UnlockAccount
I'd like to speak with someone regarding student loan options,SpeakWithSomeone
update be provided for the below ticket,GetUpdate
I need to request an extension for my application,RequestExtension
they are supposed to submit that report,ApplyForProgram
I need assistance with a Provider Relief Fund application,CallForAssistance
how to file a complaint on a FQHC,FileComplaint
please extend the due date for FFR00104317/1,ExtendDueDate
"Please extend the due dates to April 15, 2021 for the following tracking numbers",ExtendDueDate
Website won't allow me to change my password,ChangePassword
I need assistance with a pw reset,CallForAssistance
looking for a Health Center nearby,FindHealthCenter
Please have DMI extend the deadline on the following FFR to 8/13/2021: 18H33MC07874 FFR00105266/1,ExtendDeadline	
I would like to extend the due date for the report/submission named Thalassemia  Program Final Report,ExtendDueDate
User needed help registering to a grant as the project director,RegisterGrant
trying to log into EHB and need a password reset,LogIntoEHB
I need assistance with Capital Improvement Grant,CallForAssistance
Can I get an update for ticket 01215295,GetUpdate
how they can get ryan white support,GiveAccess
I need to extend the due date for the below FFR to 11/30/2021,ExtendDueDate
I need assistance with registering for grant,RegisterGrant
how to register as the PD,RegisterAsPD
I'd like to get access to these reports,GetAccess
User calling needing assistance with registering as PD for this grant,RegisterAsPD
I need to register grants to portfolio,RegisterGrant
I would like to speak with someone regarding the Nurse loan forgiveness program,SpeakWithSomeone
Caller wanted to inquire about the Provider Relief Fund,CallForInformation
I need to help registering as PD,RegisterAsPD
User wanted to know how to access the grant,AccessGrant
update regarding his CARES Provider Relief application,GetUpdate
removing a user from receiving NOA email notifications,RemoveUser
I submitted a prior approval but it still hasnt been approved,SubmitPriorApprovalRequest
I want an overview and confirm she is in review status,GetLoan
I would like to let me know next steps to extend the due date to 2/15/22,ExtendDueDate
Please have DMI extend the deadline on the following FFR to 1/30/2022: 16H25MC12970  FFR00114088/1,ExtendDeadline	
I need to apply on 06/24/2021 and want to know if they were awarded,ApplyForProgram
I have approval to order,ApplyForProgram
