id,intent,text
13,Data Request,"Hello, we request a report and SQL script that pull the Emails in EHBs. This information is currently found in the grant folder, under Communications > Emails > Uploaded Emails section in EHB.

Please include the following fields:

? Health Center ID
? Health Center Name
? City
? State
? Document Name
? Document Description
? Associated To
? Uploaded By (Name)
? Uploaded By (email)
? Uploaded Date

We would like the data for uploaded emails on or after January 1, 2020 for the following activity codes: 
? H80
? H8C
? H8D
? H8E
? H8F
? L1C
? L2C
? C8E
? C14
? L2C
? H2C
? H8H
? H2E

If possible, please let us know if you can provide this by 5/13 or let us know the earliest date you can complete this request. Thank you!"
14,Data Request,"Request all available PCHP FY21 NCC Progress Report data. Including ?program specific information.?  Request data by 5/16/22.  Thanks!

Please provide all data available for the following areas within the NCC:

?	Program Specific Information
?	Basic Information
?	Budget Information

(See included screen shot)

For all Tabs please include the following
?	H8H Number
?	Grant Organization Name
?	City
?	State
?	NCC Progress Report Tracking Number"
15,Data Request,Could we please receive an updated data report for FY21 NHCI-HC by close of business on 1/5/21?
16,Data Request,"Howdy, I am requesting assistance in retrieving data that health centers placed in the text boxes within the NHCI-HC applications titled: Project Overview and Project Plan (HRSA-21-095).  I believe that these were text boxes with restricted structure (drop down menus for a couple columns) and thereby may be accessible for all 496 approved applications as a type of data dump into one report.  I am assisting the NHCI-HC gathering this information to assist them in their monitoring of this grant as well as to better provide technical assistance.  This would be extremely helpful to have in order to create the monitoring teams as well.  If possible, the report would be best in an excel format as that is the manipulation platform that the team best knows.  Please cc: Mwhite@hrsa.gov on all correspondence regarding this ticket.  Thank you all so very much!!!"
17,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
18,Data Request,This request is for application Form 1C data dump for BPR 5-H80-21-006. The request form is attached.
19,Data Request,"I am working to pull information for TenderCare Clinic, Inc. dba Oconee Valley Healthcare, Inc. (H80CS00764) in response to a High Priority request. Would it be possible to request access to the health center's initial SAC application (2001) and each subsequent SAC until present? 2003 and beyond is available in EHB, however some of the links to documents and forms are unavailable. I am looking for complete SAC information for this health center if possible."
20,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
21,Data Request,"Request ""Project/Performance Site Location(s)"" from the application for all 496 HRSA­21­095 (FY 2021 Supplemental Funding for Hypertension (NHCI-HC)) awardees.  Request Grant ID, Organization Name, City, State, Application Tracking Number, and Project/Performance Site Locations.  Understand there may be multiple lines per awardee given some indicated multiple sites.  If available, request column indicating whether the site was marked as primary.  Please let me know if questions.  Thanks!"
22,Data Request,"For all ?H8F Award Submission? submissions in the H8F Grant folders, we need a daily report that will show the following details for each submission in an Excel spreadsheet that shows the Award Number, Organization Name, City, State, submission number, if the submission contains costs for A/R (number of projects), whether the A/R site is ?leased? or ?owned? and the costs associated with Construction (preferably by project, otherwise from SF424A).  Please begin running this report to show all submissions from 4/22/2021 ? 4/27/2021 (send on 4/28/2021) and then, afterwards, a report for each weekday date afterwards (that is, a report for 4/28/2021 (send on 4/29), for 4/29/2021 (send on 4/30/2021, then 4/30/2021 ? 5/2/2021 (send on 5/3), for 5/3/2021 (send on 5/4/2021), etc."
23,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
24,Data Request,"As part of our regular, annual reports, we are requesting data fields that contain information pertinent to Project Work Plans (PWPs) for all NTTAPs (Activity Code ?U30?) for PWPs submitted for Project Period 07/01/2020 - 06/30/2023."
25,Data Request,"One more application came in for HRSA-21-092. We would like to request one more data report from EHBSOPS-45975 / EHBSOMTASK-9967 to include this extra application. The application number is 186481. Alternatively, we would like the data for just that application."
26,Data Request,Request for Form 1C data dump for BPR 5-H80-21-007 and SAC HRSA-21-008
27,Data Request,"Good afternoon, Krishna, 

It has come to my attention that there were some ?late? submissions for the NCCs this year and these 5 NTTAPs were not included in the data dump from EHBSOPS-48065. 

Would it be possible to get a supplemental data dump or another version that includes these NTTAPs? 

The NTTAPs that should be included in the data dump are as follows (ones not in the previous version due to late submission are highlighted). 

*U30CS09734*
U30CS09735
U30CS09736
U30CS09737
U30CS09738
U30CS09741
U30CS09742
*U30CS09743*
*U30CS09744*
U30CS09746
U30CS16089
*U30CS22741*
U30CS22742
U30CS26934
U30CS26935
U30CS26936
U30CS29049
U30CS29051
U30CS29366
U30CS39198
*U30CS30788*

Best, 
Kathy"
28,Data Request,"This is URGENT.  Please elevate to Tier 2.  BPHC needs all covid award progress reports (H8C, H8D, H8E, L1C) that were available in EHB on 4/1/2021 and submission due date 4/14/2021 added to the EHB EDM Submissions and EDM Submissions Detail reports.  Thanks so much, Debra Renee Bergen"
29,Data Request,Requesting FY 2021 PCA NCC Report. Summary of data input into the FY 2021 Project Work Plan and FY 2020 Project Update as part of the U58 PCA NCC submission.
30,Data Request,See attached Ad-Hoc request
31,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
32,Data Request,We are requesting data fields that contain information pertinent to Project Work Plans (PWPs) submitted in 2020 for all NTTAPs (Activity Code ?U30?) for PWPs submitted for Project Period 07/01/2020 - 06/30/2023. We would like the latest 2020 PWP data submitted for each NTTAP (to collect re-submissions with corrected data).
33,Data Request,"We need the data collected for the ""H8F Award Submission"" particularly the work plan categories and activities. Please let me know if a report for this submission already exists in EHB, exists in the Data Mart, or will obtaining the data require an ad hoc request. If Ad hoc, please let me know what information is required and how soon the data can be delivered."
34,Data Request,"Data dump of Form 1C for SAC HRSA-21-084. 
Should include All fields for  SAC Form 1C
Due June 14th"
35,Data Request,"Hello,

Could you please create a custom report using the ESR Dashboard site data for BPHC (H80, LAL, and H1C) and adding the grant number and BPHC Site Id to the records?

Let me know if you would like to discuss before moving forward.

Thank you,
Karl"
36,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
37,Data Request,Please see attached for the adhoc report request- Requesting ARP-LAL data from the award submissions. Thank you.
38,Data Request,FY 2021 HCCN (H2Q) Non-Competing Continuation Progress Report Data Dump.
39,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
40,Data Request,Our team would like to create an ad-hoc report for a supplemental progress report.  What are the steps/instructions to create our own ad-hoc report?
41,Data Request,"Good afternoon, I am requesting an H8F Award Submission report that specifically contains all equipment list items submitted by health centers. Please see attached for further information. Please contact me or Chiu-Fang Chou (other point of contact) with any questions. We are hoping this request is possible. Thank you!"
42,Data Request,"I am requesting a data dump request for the OVC application (HRSA-22-097) EHBs forms, specifically:
?	SF-424A
?	Form 1B 
?	Project Overview Form

I've attached the ad hoc - data dump request form as well as the spreadsheet template. Let me know if you have any questions or need additional information. Thanks."
43,Data Request,"FY 2021 NTTAP NCC Data Dump

Requesting information from the FY 2021 NTTAP (U30) NCC Progress Report:
-	FY 2021 Project Work Plan Update 
-	FY 2021 Project Work Plan
-	Progress Report Table 

Draft Due Tuesday, August 24, 2021 by 4:30 pm ET, if possible
Report Due Wednesday, August 25, 2021 by 4:30 pm ET"
44,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
45,Data Request,"This is similar to an earlier request for NTTAP U30 data, but with slightly different formatting requested.
Draft Due Sept 10th"
46,Data Request,Request PHCP FY21 (HRSA-21-092) Application data for all applicants.
47,Data Request,"requesting developers to re-run/re-create a newer version of this OVC data dump from ticket 01205033 / EHBSOPS-52138 since we recently received two additional OVC applications that were not previously captured in this data dump (Centro De Salud De La Comunidad De San Ysidro, Inc., app # 196209 and Visiting Nurse Association Of Central Jersey Community Health Center, app #196443). Also, I noticed that some of the data in the latest spreadsheet that was shared with me on 8/31 (see attached) indicates a ?blank? column under # of virtual visits when the application indicates a ?0? instead for some applicants. If possible, we?d like to have the spreadsheet data consistent as to what is being pulled from the applications. For instance, I noticed that for Betances? application #196348, the # of virtual visits for 2019 in the application where ?0? is indicated is not what?s indicated in the latest data dump report. Instead, in the spreadsheet, it shows up as ?blank? under that column (# of virtual visits for 2019 column) instead."
48,Data Request,"As a workaround for the PWP issue, the developers offered to generate a report with the data submitted by the external grantees with the updated PWP forms. 
David Bates stated he would like the developers to generate the report accordingly.

Related to ticket EHBSOPS-52599"
49,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
50,Data Request,"This request is for a data dump of application Form 1C for SACs: HRSA-22-004 and HRSA-22-005, and BPR: 5-H80-22-003. The request form is attached."
51,Data Request,We request an initial running of the BPHC Application Review Status Report for the FY 2022 Optimizing Virtual Care (HRSA-22-097) program.  It is our understanding that this report can be run starting on 10-292-2021.  We will need one or two additional reports run on this program at a later date.  Please email me the report once the script is active and you are able to send an initial report.
52,Data Request,"we would like to have a preliminary run of item # 2) below (only for the C8E awards).  Please provide this report showing all the contribution requests made on this program since the awards were made and through the date the report is created.

 
#2) can we get a report on contribution requests for these awards that would include grant number, submission number, who requested the contribution, what was requested, who the contribution request was sent to, the dates, and the final contribution text?"
53,Data Request,"Hello,

We need a custom report that lists organizations from the Institution Folder. The report should restrict the organizations that have or have had BPHC grants, including look alikes (i.e., all BPHC activity codes for active and inactive grants). I will send a column list.

Thank you,
Karl"
54,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
55,Data Request,"Request for a twice-weekly report of data from the PCHP (HRSA-22-104) EHBs applications beginning on November 23, 2021, through the close of the PCHP application, around January 21, 2022. Request for a meeting with the developers before or on November 9 to discuss the request."
56,Data Request,"This request is for a data dump of application Form 1C for the following BPR application numbers:

?	196583 ? Project H.O.M.E (H80CS26635)
?	196485 ? Greenville Rancheria (H80CS26607)"
57,Data Request,"This request is for a data dump of application Form 1A for SACs: 
?	HRSA-22-004
?	HRSA-22-005"
58,Data Request,"This request is for a data dump of application Form 1C for the following BPR and SAC application numbers, as well as SAC and BPR Announcement Numbers by 11/24/21 (request form attached):

BPR Application Numbers:
?	196683 ? Bay Clinic (H80C00837)
?	196721 -  TRIAD (H80CS26514)
?	196873 ? South Central Medical & Resource Center (H80CS12883)

SAC Application Number
?	196652 - Chambers County Public Hospital District #1 (H80CS08788)
?	196651 - County of Ventura (H80CS00247)
?	196262 - East Central District Health Dept (H80CS00862)
?	196708 - Rutgers the State University of New Jersey (H80CS26763)

?	SAC HRSA-22-006 applications

?	BPR 5-H80-22-004 applications"
59,Data Request,Request for SAC Form 1A data dump - request form attached.
60,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
61,Data Request,Hi! Need a data dump for PRM - EMN submissions. Note a similar request was made 9/1 (EHBSOPS-52491). Same data requested but updated. Thanks so much!
62,Data Request,"Howdy,  For the NHCI quarterly reports, we are looking for a report that states why the 34 H80 grants marked Enhanced Monitoring and then the text that the PO has responded to in the module.  Please contact me if you need further information or clarification.  There doesn't seem to be a report that I can run that teases out this information."
63,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
64,Data Request,This request is for a data dump of application Form 1A for SAC HRSA-22-007
65,Data Request,"Hello,

We would like a monthly zip file containing the reports submitted by grantees with activity code Q8V (FY 2022 Optimizing Virtual Care (HRSA-22-097). The reports will be submitted by grantees within 5 days of each month. 
The start date of the award is 3/1/2022 and the end date is 2/28/2024. The first report will be due within 5 days of April 1, 2022. We would need the zip files by the tenth of each month until the project period has ended in 2/2024.

This is not a report that needs to be created. We need submitted reports to be put into zip files and posted for our access.

Please let me know if a short call to address any questions is needed.

Thank you,
Karl"
66,Data Request,Request for Form 1C data dump for SAC and BPR. Request form attached.
67,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
68,Data Request,"We would like an export of data from all of the Form 6A: Board Composition Forms from the last three cycles of SAC applications (FY22, FY 21 and FY20).  Specifically we are requesting the response to the following question on the Form 6A: ""If the applicant is a public organization/center, do the board members listed above represent a coapplicant board?"" [Options are yes/no/na].  In addition, we would need applicant/grant# as well as applicant/grantee name, city, state, SAC year, and also we would need the corresponding responses to the applicant/grantee's Form 1A for the the following fields: ""Business Entity"" AND ""Organization Type""."
69,Data Request,"Requesting an EMN data dump by Wednesday, 2/16/2022. Please reference PRM - EMN Data dump Jira EHBSOPS 54913. With the data dump, please also provide the sequel queries used to run the report. For any questions regarding the request for sequel queries, please contact John O'Brien in OIT. Thank you."
70,Data Request,"Per ref:_00Di0bMPM._500t0w7MRj:ref, I am requesting a custom report for a list listing on health centers with governance board waivers. I am the project officer for a national health center training and technical assistance partner awardee who needs to this information to help inform the training and technical assistance efforts that they provide to health centers who serve patients experiencing homelessness. Please let me know if such request can be granted. The grantee currently has an active Data Use Agreement with BPHC. thank you"
71,Data Request,"FY 2022 Health Center Controlled Networks (HCCN) Applications Data Dump
Draft Due 3/7 by 5PM"
72,Data Request,This request is for BPR Form 1C data dump for application number  198987 ? Catherine?s Health Center (H80CS39465) by 2/25/22 or sooner. The request form is attached.
73,Data Request,"I am the Investment Manager for the BHCMIS system. In the CPIC tool (Folio), there is a section where EHBs performance metrics are entered and updated. Some metrics are updated monthly while others are updated either quarterly or annually. I?d like to receive this info, since it is an OIT/CPIC requirement to update the tool monthly."
74,Data Request,"All Change in Scope Request(s) Tracking Numbers since 2012  related to the Following Service Sites Locations:

Barstow Community Health Center, 750 East Main Street, Barstow, CA 92311
Centro Medico El Cajon, 133 West Main Street, El Cajon, CA 92020
D Street Medical Center, 590 North D Street, San Bernardino, CA 92401"
75,Data Request,"Requesting an ad hoc EHBs report for Kate Mitchell. Would like to have this data as soon as possible. Monday by 10am, if possible.

Please provide an excel spread sheet with the following data columns:
-Grant/LAL number
-Organization name
-Site level name (when applicable)
-BPHC POC name 
-BPHC POC email

Requesting this information for all H80, H1C, LAL, H8C, H8D, H8E, H8F, C8E, L1C, L2C,  H2C, National Hypertension Control Initiative, Primary Care HIV Prevention, and School-based Service Sites

This spreadsheet will be a tool for tracking BPHC staff assigned to organizations/grants. I welcome any feedback/suggestions that you might have for additional columns/data. Reach out if you have any questions. Thank you in advance!"
76,Data Request,"This request is for a data dump of application Form 1A for SACs: 
?	HRSA-22-008
?	HRSA-22-125"
77,Data Request,We will need to obtain a report from the EHB for all contribution requests that occur within the ARP-Capital Progress Report over the period from May 8 through June 30 - one report per week.  This is similar to what was provided for the C8E submission contribution requests.
78,Data Request,"This is a request for SQL code for BPHC progress report data. Currently, EHBs progress reports (data dumps) must be manually downloaded for each award and do not show the package deadlines.  
Could you provide the SQL script for the following Progress Reports?:
?	Capital
?	ARP
?	PCHP
?	NHCI
?	SBSS
?	COVID 
Attached is an Excel spreadsheet including the variables needed for each SQL script (separated by tab).  With the exception of Capital, the variables in the BPHC progress report are similar to each other with different activity questions.  https://help.hrsa.gov/display/public/EHBSKBFG/BPHC+Progress+Reports lists detailed information that can be used for your reference."
79,Data Request,I need  a data dump for Form 1C for all applications including those with a change requests for SAC HRSA-21-007 and BPR round 5-H80-21-005 .  Can I please have this information by Thursday January 28.
80,Data Request,"My question pertains to the H8F application module and whether it's possible to get a list of the grantees that are requesting minor A/R.  

My understanding is that REI had to write a script in order to attach the TAR reviews for those grantees who selected to use funding for minor A/R.  This script may be triggered by the grantee reporting dollar amounts in the construction line in the SF-424.
Is it possible for OPPD to get a list of the grantee names, states, and H8F application numbers for those grantee that are requested minor A/R funding?  Those submissions undergo a separate program review by the Capital Oversight Team, so they are handled differently in the submission review processes.  I understand that these submissions are coming in gradually (they are due on May 31st). It may not be possible to get this report until all the submissions are in, but this list would help our review processes.  

If I can get this information through an existing report, please let me know.
Thanks!  Amy"
81,Data Request,SAC application Form 1A data request. Please see attached request form.
82,Incoming policy/program inquiry,asking where to get education for diabetes
83,Incoming policy/program inquiry,"I  need help with the Portal for the Cares , For Covid  -19, i have  submit it i know at least 10  times and no one seem to be able to help me.  i we do testing drug , alcohol  testing and assessments.  i just want someone to help me with this , i am  a small 

woman owned minority business , i  see these large business  getting funding , and i can't get nothing .   i hope someone will reach out to help me figure this out.

if  you need to speak with me please call or email me . 704-910-5053  gwenegabriel@gmail.com

hank you for your time. thank you for your help 

Gwendolyn Eubanks"
84,Incoming policy/program inquiry,I would like to request additional information regarding the protocol for for registration and application.
85,Incoming policy/program inquiry,Awardee asking for clarification on COVID Survey question #17 & 18. Asking if they should count the staff members that got the vaccine regardless of where administered or if only should count those that were provided by health center
86,Incoming policy/program inquiry,Is there a free or low cost dental care facility near Kannapolis? My husband and I are on Social Security and have dental issues (tooth pain).
87,Incoming policy/program inquiry,Caller asking for contact information of Program Officer of school based health center grant because have questions about upcoming grant
88,Incoming policy/program inquiry,"grantee asking clarification on covid survey. Who to include in number of employee vaccinations. Should they only count health center employees? or should they also include the employees in finance, behavioral health, etc"
89,Incoming policy/program inquiry,Anthony Moll from the City of Newark called in to ask when the 2021 Federal Poverty Guideline/Schedule will be updated on the HRSA website.
90,Incoming policy/program inquiry,Caller asking for who to talk to regarding injury from vaccine
91,Incoming policy/program inquiry,"Requesting Clarification of Question #19 and 20 of COVID Survey. when looking at number of patients who completed vaccine, should they also include the employees in count"
92,Incoming policy/program inquiry,Caller asked how to register facility for Provider Relief Funding
93,Incoming policy/program inquiry,"________________________________
From: david brazil
Sent: Friday, January 29, 2021 7:42:33 PM (UTC-05:00) Eastern Time (US & Canada)
To: HRSA BPHC Answers
Subject: RE: ACTION REQUIRED BY 11:59 p.m. Local Time Tuesday, Feb 2nd: Health Center COVID-19 (Coronavirus) Tracking Survey

This week?s survey link was closed upon my opening it. I did not have an opportunity to enter data. May I get an open link for our health center (H80CS 28372)?

Thanks,

David Brazil
Chief Executive Officer
Community Health Center in Cowley County
221 W. 8th
Winfield, KS  67156
Direct: (620) 705-5701
Office: (620) 221-3350
www.cowleyhealthcenter.org<http://www.cowleyhealthcenter.org/>

[cid:image001.png@01D6F66E.80C8B140]

From: noreply@salesforce.com <noreply@salesforce.com> On Behalf Of BPHC Answers
Sent: Friday, January 29, 2021 2:33 PM
To: david brazil <dbrazil@cowleyhealthcenter.org>
Subject: ACTION REQUIRED BY 11:59 p.m. Local Time Tuesday, Feb 2nd: Health Center COVID-19 (Coronavirus) Tracking Survey

Hello,

As a part of the COVID-19 emergency response, please take a few minutes to fill out HRSA?s COVID-19 survey<https://hrsa.force.com/HRSABPHC/s/health-center-survey>. You or anyone in your organization can complete the survey. It will require your H80 number in order to submit a response.



The deadline for this survey is 11:59 p.m. your local time on Tuesday, February 2.

IMPORTANT: This survey is asking ONLY about your health center?s experience beginning on Saturday, January 23, through Friday, January 29. Please do not report on information outside of this timeframe.



The Survey Tool User Guide<https://bphc.hrsa.gov/emergency-response/covid-19-data-collection-survey-tool-user-guide> explains the data we?re collecting and offers instructions for completing each question.

We recently added new functionality based on your feedback: Before you submit your answers, you?ll see a summary of your responses, which you can save as a PDF or print. You?ll also have the opportunity to make any needed corrections before you submit.



Bookmark the Link

Just a reminder: The link for the survey is actually the same every week. So, although we?ll continue to send weekly emails, you do not have to wait to begin the survey! Bookmark the link above so you can quickly access the survey during the open period (Fridays beginning at 5:00 p.m. ET-Tuesdays at 11:59 p.m. your local time).

It?s important to remember the timeframe for the survey. Each Friday?s survey is asking about your health center?s experience ONLY for the time period beginning the prior Saturday through that Friday.



THANK YOU!
Your input helps us better understand?and then respond to?your needs during this ever-changing pandemic. For more information, please see the March 18 bulletin, ?Health Center COVID-19 Information Collection<https://content.govdelivery.com/accounts/USHHSHRSA/bulletins/281ed28>? or the Information Collection category of our Health Center Program COVID-19 Frequently Asked Questions (FAQs) webpage<https://bphc.hrsa.gov/emergency-response/coronavirus-frequently-asked-questions.html>. Thank you in advance for helping us help you!



If you have questions about the Health Center Program and COVID-19, please contact Health Center Program Support online<http://www.hrsa.gov/about/contact/bphc.aspx>. Select ?Coronavirus Inquiries (COVID-19)? as the issue type?the third option on the ?Health Center or EHBs Question? screen.



You can also call Health Center Program Support at 877-464-4772, option 2, 7:00 a.m. to 8:00 p.m. ET, Monday-Friday (except federal holidays).


Thank you,
Health Center Program Support
Link to survey: [<https://hrsa.force.com/HRSABPHC/survey/runtimeApp.app?invitationId=0Kit00000000BRt&surveyName=covid_19_coronavirus_survey_v2_1cdb077d_4c22_4ab5_8c14_27b1e385b97b&UUID=520afeaf-786f-4dd2-9899-e1c2e9f6c89f>https://hrsa.force.com/HRSABPHC/s/health-center-survey]<https://hrsa.force.com/HRSABPHC/survey/runtimeApp.app?invitationId=0Kit00000000BRt&surveyName=covid_19_coronavirus_survey_v2_1cdb077d_4c22_4ab5_8c14_27b1e385b97b&UUID=520afeaf-786f-4dd2-9899-e1c2e9f6c89f>"
94,Incoming policy/program inquiry,Taha Pharmacy is not contracted with any insurance companies but are getting the COVID-19 vaccine to distribute next week. They are a new pharmacy and they are still in the process of getting contracted. Can they charge under the CARES act?
95,Incoming policy/program inquiry,How do I access and submit the COVID survey
96,Incoming policy/program inquiry,"Caller asking for where to find Poverty Guidelines for California. Webpage shows Alaska, Hawaii, and DC"
97,Incoming policy/program inquiry,Would I be able to submit data for the survey due last week on 2/2/2021? I do not think I completed the submission last week.
98,Incoming policy/program inquiry,"________________________________
From: Holly Russo, RN, MSN, MSECS
Sent: Thursday, February 11, 2021 12:16:18 PM (UTC-05:00) Eastern Time (US & Canada)
To: HRSA BPHC Answers
Subject: FQHCLAs


Are FQHCLAs non-BPHC grantees?

Holly
Sent from Mail<https://go.microsoft.com/fwlink/?LinkId=550986> for Windows 10


[cid:gdYbphDV3ECqC3hxZVpKJA166_CWImagePCraftDivide_png]

Holly Russo, RN, MSN, MSECS
President and CEO
800.682.5216
holly.russo@patientcraft.com

[cid:rkGIfasYREWRmOVSITAoHQPC_Logo_png]<http://www.patientcraft.com/>

[cid:FxYulmlzk6ZqL3l4B7vRA166_CWImagePCraftLI2_png]<https://www.linkedin.com/company/patientcraft?trk=top_nav_home>   [cid:3Vd0tAZm2kCC21n6s8YPqQ166_CWImagePCraftTT_png] <https://twitter.com/patientcraft>

The information in this email may be confidential and/or privileged. This email is intended to be reviewed only by the individual or organization named above. If you are not the intended recipient or an authorized representative of the intended recipient, you are hereby notified that any review, dissemination or copying of this email and its attachments, if any, and any use or disclosure of the information contained herein, is prohibited. If you have received this email in error, please immediately notify the sender by email or telephone and permanently delete this email from your system."
